tree_id,n_dets,n_sides,naive_B1,naive_B2,naive_B3,naive_B4,naive_total,corrected_B1,corrected_B2,corrected_B3,corrected_B4,corrected_total,visibility_B1,visibility_B2,visibility_B3,visibility_B4,visibility_total,adaptive_visibility_B1,adaptive_visibility_B2,adaptive_visibility_B3,adaptive_visibility_B4,adaptive_visibility_total,adaptive_corrected_B1,adaptive_corrected_B2,adaptive_corrected_B3,adaptive_corrected_B4,adaptive_corrected_total,v6_selector_B1,v6_selector_B2,v6_selector_B3,v6_selector_B4,v6_selector_total,stacking_density_v7_B1,stacking_density_v7_B2,stacking_density_v7_B3,stacking_density_v7_B4,stacking_density_v7_total,stacking_bracketed_v7_B1,stacking_bracketed_v7_B2,stacking_bracketed_v7_B3,stacking_bracketed_v7_B4,stacking_bracketed_v7_total,entropy_modulated_v8_B1,entropy_modulated_v8_B2,entropy_modulated_v8_B3,entropy_modulated_v8_B4,entropy_modulated_v8_total,v8_entropy_stacking_B1,v8_entropy_stacking_B2,v8_entropy_stacking_B3,v8_entropy_stacking_B4,v8_entropy_stacking_total,density_scaled_vis_B1,density_scaled_vis_B2,density_scaled_vis_B3,density_scaled_vis_B4,density_scaled_vis_total,class_aware_vis_B1,class_aware_vis_B2,class_aware_vis_B3,class_aware_vis_B4,class_aware_vis_total,side_coverage_B1,side_coverage_B2,side_coverage_B3,side_coverage_B4,side_coverage_total,hybrid_vis_corr_B1,hybrid_vis_corr_B2,hybrid_vis_corr_B3,hybrid_vis_corr_B4,hybrid_vis_corr_total,ordinal_prior_B1,ordinal_prior_B2,ordinal_prior_B3,ordinal_prior_B4,ordinal_prior_total,relaxed_match_B1,relaxed_match_B2,relaxed_match_B3,relaxed_match_B4,relaxed_match_total,best_visibility_grid_B1,best_visibility_grid_B2,best_visibility_grid_B3,best_visibility_grid_B4,best_visibility_grid_total,best_class_aware_grid_B1,best_class_aware_grid_B2,best_class_aware_grid_B3,best_class_aware_grid_B4,best_class_aware_grid_total,best_relaxed_grid_B1,best_relaxed_grid_B2,best_relaxed_grid_B3,best_relaxed_grid_B4,best_relaxed_grid_total,best_ensemble_grid_B1,best_ensemble_grid_B2,best_ensemble_grid_B3,best_ensemble_grid_B4,best_ensemble_grid_total,naive_mean_ensemble_B1,naive_mean_ensemble_B2,naive_mean_ensemble_B3,naive_mean_ensemble_B4,naive_mean_ensemble_total
LONSUM_A21A_0075,11,4,0,0,9,2,11,0,0,5,1,6,0,0,5,1,6,0,0,5,1,6,0,0,5,1,6,0,0,5,1,6,0,0,5,1,6,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,0,0,5,1,6,0,0,6,1,7,0,0,5,2,7,0,0,5,1,6,0,0,5,1,6,0,0,1,2,3,0,0,5,1,6,0,0,5,1,6,0,0,2,2,4,0,0,5,1,6,0,0,5,1,6
LONSUM_A21A_0076,12,4,0,1,11,0,12,0,1,6,0,7,0,1,6,0,7,0,1,6,0,7,0,1,6,0,7,0,1,6,0,7,0,1,6,0,7,0,1,6,0,7,0,1,6,0,7,0,1,6,0,7,0,1,6,0,7,0,1,7,0,8,0,1,6,0,7,0,1,6,0,7,0,5,2,0,7,0,1,1,0,2,0,1,6,0,7,0,1,6,0,7,0,1,1,0,2,0,1,6,0,7,0,1,5,0,6
LONSUM_A21A_0077,7,4,0,0,3,4,7,0,0,2,2,4,0,0,2,2,4,0,0,2,2,4,0,0,2,2,4,0,0,2,2,4,0,0,2,2,4,0,0,2,2,4,0,0,2,2,4,0,0,2,2,4,0,0,2,2,4,0,0,2,2,4,0,0,2,2,4,0,0,2,2,4,0,1,1,2,4,0,0,1,1,2,0,0,2,2,4,0,0,2,2,4,0,0,1,1,2,0,0,2,2,4,0,0,2,2,4
LONSUM_A21A_0078,17,4,0,5,5,7,17,0,3,3,4,10,0,3,3,4,10,0,3,3,4,10,0,3,3,4,10,0,3,3,4,10,0,3,3,4,10,0,3,3,4,10,0,3,3,4,10,0,3,3,4,10,0,3,3,4,10,0,3,3,4,10,0,3,3,4,10,0,3,3,4,10,0,3,3,4,10,0,1,1,1,3,0,3,3,4,10,0,3,3,4,10,0,1,1,1,3,0,3,3,4,10,0,3,3,4,10
LONSUM_A21A_0079,8,4,0,0,8,0,8,0,0,4,0,4,0,0,4,0,4,0,0,4,0,4,0,0,4,0,4,0,0,4,0,4,0,0,4,0,4,0,0,4,0,4,0,0,4,0,4,0,0,4,0,4,0,0,4,0,4,0,0,5,0,5,0,0,4,0,4,0,0,4,0,4,0,3,1,0,4,0,0,1,0,1,0,0,4,0,4,0,0,5,0,5,0,0,1,0,1,0,0,4,0,4,0,0,4,0,4
LONSUM_A21A_0080,5,3,0,0,5,0,5,0,0,3,0,3,0,0,3,0,3,0,0,2,0,2,0,0,3,0,3,0,0,3,0,3,0,0,3,0,3,0,0,3,0,3,0,0,3,0,3,0,0,3,0,3,0,0,3,0,3,0,0,3,0,3,0,0,3,0,3,0,0,3,0,3,0,1,2,0,3,0,0,1,0,1,0,0,3,0,3,0,0,3,0,3,0,0,1,0,1,0,0,2,0,2,0,0,3,0,3
LONSUM_A21A_0081,7,4,0,0,3,4,7,0,0,2,2,4,0,0,2,2,4,0,0,1,2,3,0,0,2,2,4,0,0,2,2,4,0,0,2,2,4,0,0,2,2,4,0,0,2,2,4,0,0,2,2,4,0,0,2,2,4,0,0,2,2,4,0,0,2,2,4,0,0,2,2,4,0,1,1,2,4,0,0,1,1,2,0,0,2,2,4,0,0,2,2,4,0,0,1,1,2,0,0,1,2,3,0,0,2,2,4
LONSUM_A21A_0082,7,4,0,3,3,1,7,0,2,2,1,5,0,2,2,1,5,0,1,1,1,3,0,2,2,1,5,0,2,2,1,5,0,2,2,1,5,0,2,2,1,5,0,2,2,1,5,0,2,2,1,5,0,2,2,1,5,0,2,2,1,5,0,2,2,1,5,0,2,2,1,5,0,2,2,1,5,0,1,1,1,3,0,2,2,1,5,0,2,2,1,5,0,1,1,1,3,0,1,1,1,3,0,2,2,1,5
LONSUM_A21A_0083,17,4,0,2,14,1,17,0,1,8,1,10,0,1,7,1,9,0,1,8,1,10,0,1,8,1,10,0,1,9,1,11,0,1,8,1,10,0,2,8,1,11,0,2,8,1,11,0,2,8,1,11,0,1,7,1,9,0,1,9,1,11,0,2,7,1,10,0,1,7,1,9,0,1,7,1,9,0,2,1,1,4,0,1,7,1,9,0,1,8,1,10,0,2,1,1,4,0,1,8,1,10,0,1,7,1,9
LONSUM_A21A_0084,4,3,0,0,4,0,4,0,0,2,0,2,0,0,2,0,2,0,0,2,0,2,0,0,2,0,2,0,0,2,0,2,0,0,2,0,2,0,0,2,0,2,0,0,2,0,2,0,0,2,0,2,0,0,2,0,2,0,0,2,0,2,0,0,2,0,2,0,0,2,0,2,0,1,1,0,2,0,0,1,0,1,0,0,2,0,2,0,0,2,0,2,0,0,1,0,1,0,0,2,0,2,0,0,2,0,2
LONSUM_A21A_0085,2,2,0,0,1,1,2,0,0,1,1,2,0,0,1,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,2,0,0,1,1,2,0,0,1,1,2,0,0,1,1,2,0,0,1,1,2,0,0,1,1,2,0,0,1,1,2,0,1,0,1,2,0,0,1,1,2,0,0,1,1,2,0,0,1,1,2,0,0,1,1,2,0,0,0,1,1,0,0,1,1,2
LONSUM_A21A_0086,10,4,0,2,5,3,10,0,1,3,2,6,0,1,3,2,6,0,1,3,2,6,0,1,3,2,6,0,1,3,2,6,0,1,3,2,6,0,1,3,3,7,0,1,3,3,7,0,1,3,3,7,0,1,3,2,6,0,1,3,2,6,0,1,3,3,7,0,1,3,2,6,0,1,3,2,6,0,1,1,3,5,0,1,3,2,6,0,1,3,2,6,0,1,2,3,6,0,1,3,2,6,0,1,3,2,6
LONSUM_A21A_0087,9,4,0,0,9,0,9,0,0,5,0,5,0,0,5,0,5,0,0,5,0,5,0,0,5,0,5,0,0,5,0,5,0,0,5,0,5,0,0,5,0,5,0,0,5,0,5,0,0,5,0,5,0,0,5,0,5,0,0,6,0,6,0,0,5,0,5,0,0,5,0,5,0,0,5,0,5,0,0,1,0,1,0,0,5,0,5,0,0,5,0,5,0,0,1,0,1,0,0,5,0,5,0,0,5,0,5
LONSUM_A21A_0088,18,4,1,5,12,0,18,1,3,7,0,11,1,3,6,0,10,1,3,7,0,11,1,3,7,0,11,1,3,7,0,11,1,3,7,0,11,1,3,7,0,11,1,3,7,0,11,1,3,7,0,11,1,3,6,0,10,1,3,7,0,11,1,3,6,0,10,1,3,6,0,10,1,2,7,0,10,1,1,1,0,3,1,3,6,0,10,1,3,7,0,11,1,1,1,0,3,1,3,7,0,11,1,3,6,0,10
LONSUM_A21A_0090,10,4,0,2,5,3,10,0,1,3,2,6,0,1,3,2,6,0,1,3,2,6,0,1,3,2,6,0,1,3,2,6,0,1,3,2,6,0,1,3,2,6,0,1,3,2,6,0,1,3,2,6,0,1,3,2,6,0,1,3,2,6,0,1,3,2,6,0,1,3,2,6,0,0,4,2,6,0,1,1,1,3,0,1,3,2,6,0,1,3,2,6,0,1,1,1,3,0,1,3,2,6,0,1,3,2,6
LONSUM_A21A_0091,16,4,0,1,13,2,16,0,1,7,1,9,0,1,7,1,9,0,1,7,1,9,0,1,7,1,9,0,1,7,1,9,0,1,7,1,9,0,1,7,1,9,0,1,7,1,9,0,1,7,1,9,0,1,7,1,9,0,1,8,1,10,0,1,7,1,9,0,1,7,1,9,0,1,7,1,9,0,1,1,1,3,0,1,7,1,9,0,1,7,1,9,0,1,1,1,3,0,1,7,1,9,0,1,6,1,8
LONSUM_A21A_0092,13,4,0,2,11,0,13,0,1,6,0,7,0,1,6,0,7,0,1,6,0,7,0,1,6,0,7,0,1,6,0,7,0,1,6,0,7,0,2,6,0,8,0,2,6,0,8,0,2,6,0,8,0,1,6,0,7,0,1,7,0,8,0,2,6,0,8,0,1,6,0,7,0,0,7,0,7,0,2,1,0,3,0,1,6,0,7,0,1,6,0,7,0,2,1,0,3,0,1,6,0,7,0,1,6,0,7
LONSUM_A21A_0093,7,4,0,0,7,0,7,0,0,4,0,4,0,0,4,0,4,0,0,3,0,3,0,0,4,0,4,0,0,4,0,4,0,0,4,0,4,0,0,4,0,4,0,0,4,0,4,0,0,4,0,4,0,0,4,0,4,0,0,4,0,4,0,0,4,0,4,0,0,4,0,4,0,1,3,0,4,0,0,1,0,1,0,0,4,0,4,0,0,4,0,4,0,0,1,0,1,0,0,3,0,3,0,0,4,0,4
LONSUM_A21A_0094,12,4,1,1,7,3,12,1,1,4,2,8,1,1,4,2,8,1,1,4,2,8,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,1,1,4,2,8,1,1,4,2,8,1,1,4,2,8,1,1,4,2,8,1,1,4,2,8,1,1,4,2,8,1,1,4,2,8,1,1,4,2,8,1,1,1,1,4,1,1,4,2,8,1,1,4,2,8,1,1,1,1,4,1,1,4,2,8,1,1,4,2,8
LONSUM_A21A_0095,12,4,0,2,6,4,12,0,1,3,2,6,0,1,3,2,6,0,1,3,2,6,0,1,3,2,6,0,1,3,2,6,0,1,3,2,6,0,2,3,2,7,0,2,3,2,7,0,2,3,2,7,0,1,3,2,6,0,1,4,2,7,0,2,3,2,7,0,1,3,2,6,0,0,4,2,6,0,2,1,1,4,0,1,3,2,6,0,1,3,2,6,0,2,1,2,5,0,1,3,2,6,0,1,3,2,6
LONSUM_A21A_0096,9,3,0,0,9,0,9,0,0,5,0,5,0,0,5,0,5,0,0,5,0,5,0,0,5,0,5,0,0,5,0,5,0,0,5,0,5,0,0,5,0,5,0,0,5,0,5,0,0,5,0,5,0,0,5,0,5,0,0,5,0,5,0,0,5,0,5,0,0,5,0,5,0,2,3,0,5,0,0,1,0,1,0,0,5,0,5,0,0,5,0,5,0,0,2,0,2,0,0,5,0,5,0,0,4,0,4
LONSUM_A21A_0097,5,4,0,0,3,2,5,0,0,2,1,3,0,0,2,1,3,0,0,1,1,2,0,0,2,1,3,0,0,2,1,3,0,0,2,1,3,0,0,2,1,3,0,0,2,1,3,0,0,2,1,3,0,0,2,1,3,0,0,2,1,3,0,0,2,1,3,0,0,2,1,3,0,1,1,1,3,0,0,1,1,2,0,0,2,1,3,0,0,2,1,3,0,0,1,1,2,0,0,1,1,2,0,0,2,1,3
LONSUM_A21A_0098,9,4,0,4,3,2,9,0,2,2,1,5,0,2,2,1,5,0,2,2,1,5,0,2,2,1,5,0,2,2,1,5,0,2,2,1,5,0,2,2,1,5,0,2,2,1,5,0,2,2,1,5,0,2,2,1,5,0,2,2,1,5,0,2,2,1,5,0,2,2,1,5,0,1,3,1,5,0,1,1,1,3,0,2,2,1,5,0,2,2,1,5,0,1,1,1,3,0,2,2,1,5,0,2,2,1,5
LONSUM_A21A_0099,16,4,0,0,14,2,16,0,0,8,1,9,0,0,7,1,8,0,0,8,1,9,0,0,8,1,9,0,0,9,1,10,0,0,8,1,9,0,0,8,2,10,0,0,8,2,10,0,0,8,2,10,0,0,7,1,8,0,0,9,1,10,0,0,7,2,9,0,0,7,1,8,0,0,7,1,8,0,0,1,2,3,0,0,7,1,8,0,0,8,1,9,0,0,1,2,3,0,0,8,1,9,0,0,7,1,8
