method,split,n,acc_within1_pct,exact_profile_pct,macro_MAE
M01_selector_b2b3,test,166,89.7590361445783,27.10843373493976,0.32680722891566266
M01_selector_b2b3,train,599,88.14691151919867,26.37729549248748,0.3789649415692822
M01_selector_b2b3,unknown,12,25.0,0.0,1.7916666666666665
M01_selector_b2b3,val,176,83.52272727272727,27.27272727272727,0.37926136363636365
M03_blend_geometric,test,166,88.55421686746988,25.301204819277107,0.3463855421686747
M03_blend_geometric,train,599,87.97996661101837,27.378964941569283,0.3764607679465777
M03_blend_geometric,unknown,12,33.33333333333333,0.0,1.7916666666666667
M03_blend_geometric,val,176,82.38636363636364,28.40909090909091,0.37073863636363635
M05_blend_vis_divide,test,166,88.55421686746988,24.096385542168676,0.3569277108433735
M05_blend_vis_divide,train,599,87.81302170283807,25.041736227045075,0.3902337228714524
M05_blend_vis_divide,unknown,12,33.33333333333333,0.0,1.7708333333333335
M05_blend_vis_divide,val,176,82.38636363636364,28.97727272727273,0.3764204545454546
M06_weight_visibility,test,166,88.55421686746988,24.096385542168676,0.35240963855421686
M06_weight_visibility,train,599,87.14524207011685,25.041736227045075,0.37604340567612693
M06_weight_visibility,unknown,12,33.33333333333333,0.0,1.4583333333333335
M06_weight_visibility,val,176,84.0909090909091,28.97727272727273,0.3622159090909091
M30_side_aware_divide,test,166,89.7590361445783,28.313253012048197,0.2996987951807229
M30_side_aware_divide,train,599,87.81302170283807,24.707846410684475,0.31051752921535897
M30_side_aware_divide,unknown,12,58.333333333333336,16.666666666666664,0.5
M30_side_aware_divide,val,176,86.36363636363636,24.431818181818183,0.31107954545454547
M31_side_aware_selector,test,166,91.56626506024097,27.710843373493976,0.29518072289156627
M31_side_aware_selector,train,599,89.98330550918196,26.54424040066778,0.2984140233722872
M31_side_aware_selector,unknown,12,58.333333333333336,0.0,0.6041666666666667
M31_side_aware_selector,val,176,86.93181818181817,27.84090909090909,0.3025568181818182
M32_side_aware_b2b3,test,166,90.96385542168674,27.710843373493976,0.29819277108433734
M32_side_aware_b2b3,train,599,89.64941569282136,26.54424040066778,0.2992487479131887
M32_side_aware_b2b3,unknown,12,50.0,0.0,0.6041666666666667
M32_side_aware_b2b3,val,176,86.93181818181817,27.84090909090909,0.3025568181818182
